IAI(id) towaru,Kod producenta (ten z produktu prawdziwy),Opis Polski,Opis Niemiecki
28453,5060122497299,"APPLAWS Complete Dry Adult Ocean Fish With Salmon 1,8kg Skład: Świeża biała ryba (18%), Groch, Mączka śledziowa (12%), Mąka z ciecierzycy, Soczewica, Świeży łosoś (8%), Mączka z siei (5%), Siemię lniane, Drożdże piwne, Olej z łososia (3%), Lucerna, Łosoś Mączka (2,5%), Hydrolizowane białko rybne (2,5%), Suszona żurawina, Witaminy i minerały, Olej kokosowy, Suszone jabłko, Suszona gruszka, Inulina, Suszona żurawina, Suszony pomidor, Suszony szpinak, Ekstrakt z cytrusów, Ekstrakt z rozmarynu, Ekstrakt z juki, Analiza Składu: Białko 34%, Włókno surowe 6%, Tłuszcz surowy 15%, Omega-3 1,2%, Omega-6 3%, Tauryna 2000 mg/kg, Dodatki: Witamina A (octan retinylu) 27850 IU/kg, Witamina D3 (cholekalcyferol) 1200 IU/kg, Witamina E (octan alfa-tokoferolu) 615 IU/kg, Selen (selenin sodu) 0,13 mg/kg, Jod (bezwodny jodan wapnia) 1,5 mg/kg, Żelazo (monohydrat siarczanu żelaza) 80 mg/kg, Miedź (pięciowodny siarczan miedzi) 48 mg/kg, Mangan (siarczan manganu), Monohydrat) 38 mg/kg, Cynk (monohydrat siarczanu cynku) 135 mg/kg, Dawkowanie: Waga kota: 1,25-3kg/3 - 5kg/5 - 8kg Dzienna porcja: 20 - 40g/40 - 60g/60 - 100g","APPLAWS Complete Dry Adult Meeresfisch mit Lachs 1.8kg Zutaten: Frischer Weißfisch (18%), Erbsen, Heringsmehl (12%), Kichererbsenmehl, Linsen, frischer Lachs (8%), Felchenmehl (5%), Leinsamen, Bierhefe, Lachsöl (3%), Luzerne, Lachsmehl (2,5%), hydrolysiertes Fischprotein (2, 5%), getrocknete Cranberries, Vitamine und Mineralien, Kokosnussöl, getrockneter Apfel, getrocknete Birne, Inulin, getrocknete Cranberries, getrocknete Tomate, getrockneter Spinat, Zitrusextrakt, Rosmarinextrakt, Yucca-Extrakt, Analyse der Zusammensetzung: Eiweiß 34%, Rohfaser 6%, Rohfett 15%, Omega-3 1,2%, Omega-6 3%, Taurin 2000 mg/kg, Zusatzstoffe: Vitamin A (Retinylacetat) 27850 IU/kg, Vitamin D3 (Cholecalciferol) 1200 IU/kg, Vitamin E (Alpha-Tocopherolacetat) 615 IU/kg, Selen (Natriumselenit) 0,13 mg/kg, Jod (Calciumjodat wasserfrei) 1,5 mg/kg, Eisen (Eisensulfat-Monohydrat) 80 mg/kg, Kupfer (Kupfersulfat-Pentahydrat) 48 mg/kg, Mangan (Mangansulfat-Monohydrat) 38 mg/kg, Zink (Zinksulfat-Monohydrat) 135 mg/kg, Dosierung: Katzengewicht: 1,25-3kg/3 - 5kg/5 - 8kg Tagesdosis: 20 - 40g/40 - 60g/60 - 100g
"
27302,5060333435653,"APPLAWS Complete Dry Adult Chicken With Duck 7,5kg Skład: Sucha mączka z kurczaka (47%), Sucha mączka z kaczki (21%), Świeżo przygotowane mielone mięso z kurczaka (16%), Ziemniaki, Pulpa buraczana, Drożdże piwne, Sos kurczaka (1%), Olej z łososia, Witaminy i minerały, Suszone jajko, Włókno roślinne celulozy (0,03%), Chlorek sodu, Węglan wapnia, Wodorosty morskie/wodorosty morskie, Żurawina, DL-metionina, Chlorek potasu, Ekstrakt z juki, Ekstrakt z cytrusów, Ekstrakt z rozmarynu, Analiza Składu: Białko 37%, Włókno surowe 2,1%, Tłuszcz surowy 20%, Popiół surowy 11,3%, Omega-3: 0,8%, Omega-6: 3,8%, Fosfor 1,8%, Wapń 2,8%, Tauryna 2000 mg/kg, Dodatki: Witamina A (octan retinylu) 27850 IU/kg, Witamina D3 (cholekalcyferol) 1200 IU/kg, Witamina E (octan alfa-tokoferolu) 615 IU/kg, Selen (selenin sodu) 0,13 mg/kg, Jod (bezwodny jodan wapnia) 1,5 mg/kg, Żelazo (monohydrat siarczanu żelaza) 80 mg/kg, Miedź (pięciowodny siarczan miedzi) 48 mg/kg, Mangan (monohydrat siarczanu manganu) ) 38 mg/kg, Cynk z monohydratu siarczanu cynku 135 mg/kg, Dawkowanie: Waga kota: 1,25 - 3 kg/3 - 5 kg/5 - 8kg Dzienna porcja: 20 - 40g/40 - 60g/60 - 100g","APPLAWS Complete Dry Adult Huhn mit Ente 7.5kg Zusammensetzung: Hühnertrockenmehl (47%), Ententrockenmehl (21%), frisch zubereitetes Hühnerhackfleisch (16%), Kartoffeln, Rübenschnitzel, Bierhefe, Hühnersoße (1%), Lachsöl, Vitamine und Mineralstoffe, Trockenei, Pflanzliche Zellulosefasern (0,03%), Natriumchlorid, Kalziumkarbonat, Seetang/Meeresalgen, Cranberry, DL-Methionin, Kaliumchlorid, Yucca-Extrakt, Zitrus-Extrakt, Rosmarin-Extrakt, Analyse der Zusammensetzung: Eiweiß 37%, Rohfaser 2,1%, Rohfett 20%, Rohasche 11,3%, Omega-3: 0,8%, Omega-6: 3,8%, Phosphor 1,8%, Calcium 2,8%, Taurin 2000 mg/kg, Zusatzstoffe: Vitamin A (Retinylacetat) 27850 IU/kg, Vitamin D3 (Cholecalciferol) 1200 IU/kg, Vitamin E (Alpha-Tocopherol-Acetat) 615 IU/kg, Selen (Natriumselenit) 0,13 mg/kg, Jod (Calciumjodat wasserfrei) 1,5 mg/kg, Eisen (Eisensulfat-Monohydrat) 80 mg/kg, Kupfer (Kupfersulfat-Pentahydrat) 48 mg/kg, Mangan (Mangansulfat-Monohydrat) ) 38 mg/kg, Zink (Zinksulfat-Monohydrat) 135 mg/kg, Dosierung: Katzengewicht: 1,25 - 3 kg/3 - 5 kg/5 - 8kg Tagesdosis: 20 - 40g/40 - 60g/60 - 100g
"
27301,5060122491396,"APPLAWS Complete Dry Kitten Chicken 7,5kg Skład: Suchy kurczak (62%), Mielone mięso z kurczaka (17%), Ziemniaki, Drożdże piwne, Pulpa buraczana, Sos z kurczaka (1%), Olej z łososia, Źródło witamin i minerałów, Omega-3, EPA i DHA, Suszone jaja, Celuloza, Błonnik (0,03%), Chlorek sodu, Węglan wapnia, Wodorosty morskie, Żurawina, DL-metionina, Chlorek potasu, Ekstrakt z juki, Ekstrakt z cytrusów, Ekstrakt z rozmarynu, Analiza Składu: Białko 38%, Włókno surowe 2,1%, Tłuszcz surowy 20%, Popiół surowy 10,5%, Omega-3: 0,8%, Omega-6: 3,8%, Fosfor 1,5%, Wapń 2,3%, Tauryna 2000 mg/kg, Dodatki: Witamina A (octan retinylu) 27850 IU/kg, Witamina D3 (cholekalcyferol) 1200 IU/kg, Witamina E (octan alfa-tokoferolu) 615 IU/kg, Selen (selenin sodu) 0,13 mg/kg, jod (bezwodny jodan wapnia) 1,5 mg/kg, Żelazo (monohydrat siarczanu żelaza) 80 mg/kg, Miedź (pięciowodny siarczan miedzi) 48 mg/kg, Mangan (monohydrat siarczanu manganu) ) 38 mg/kg, Cynk z monohydratu siarczanu cynku 135 mg/kg, Dawkowanie: Wiek kota: 0 - 4 miesiące/4 - 6 miesięcy/6 - 8 miesięcy/8 - 14 miesięcy, Dzienna porcja: 20-55g/55 - 70g/0 - 75g/75-85g","APPLAWS Complete Dry Kitten Huhn 7.5kg Zutaten: Trockenes Hühnerfleisch (62%), gemahlenes Hühnerfleisch (17%), Kartoffeln, Bierhefe, Rübenschnitzel, Hühnersoße (1%), Lachsöl, Quelle von Vitaminen und Mineralstoffen, Omega-3, EPA und DHA, Trockenei, Cellulose, Ballaststoffe (0,03%), Natriumchlorid, Calciumcarbonat, Meeresalgen, Cranberry, DL-Methionin, Kaliumchlorid, Yucca-Extrakt, Zitrus-Extrakt, Rosmarin-Extrakt, Analyse der Zusammensetzung: Eiweiß 38%, Rohfaser 2,1%, Rohfett 20%, Rohasche 10,5%, Omega-3: 0,8%, Omega-6: 3,8%, Phosphor 1,5%, Calcium 2,3%, Taurin 2000 mg/kg, Zusatzstoffe: Vitamin A (Retinylacetat) 27850 IU/kg, Vitamin D3 (Cholecalciferol) 1200 IU/kg, Vitamin E (Alpha-Tocopherol-Acetat) 615 IU/kg, Selen (Natriumselenit) 0,13 mg/kg, Jod (Calciumjodat wasserfrei) 1,5 mg/kg, Eisen (Eisensulfat-Monohydrat) 80 mg/kg, Kupfer (Kupfersulfat-Pentahydrat) 48 mg/kg, Mangan (Mangansulfat-Monohydrat) ) 38 mg/kg, Zink (Zinksulfat-Monohydrat) 135 mg/kg, Dosierung: Katzenalter: 0 - 4 Monate/4 - 6 Monate/6 - 8 Monate/8 - 14 Monate, Tagesdosis: 20-55g/55 - 70g/0 - 75g/75-85g"
20510,,"APPLAWS Complete Dry Adult Chicken With Lamb 7,5kg Skład: Suszony kurczak (48%), Suszona jagnięcina (20%),Suszony ziemniak,Mielone mięso z kurczaka (12%),Pulpa buraczana,Sos z kurczaka,Olej z łososia,Witaminy i minerały, Suszone jajko,Błonnik celulozowy (0,03%),Chlorek sodu, Węglan wapnia, Wodorosty morskie/wodorosty morskie, Żurawina, DL-metionina, Chlorek potasu, Ekstrakt z juki, Ekstrakt z cytrusów, Ekstrakt z rozmarynu, Analiza Składu: Białko 37%, Włókno surowe 2,5%, Tłuszcz surowy 17%, Omega-3 1%, Omega-6 3,3%, Fosfor 1,6%, Wapń 2,7%, Dodatki: Witamina A (octan retinylu) 27850 IU/kg, Witamina D3 (cholekalcyferol) 1200 IU/kg, Witamina E (octan alfa-tokoferolu) 615 IU/kg, Selen (selenin sodu) 0,13 mg/kg, Jod (bezwodny jodan wapnia) 1,5 mg/kg, Żelazo (monohydrat siarczanu żelaza) 80 mg/kg, Miedź (pięciowodny siarczan miedzi) 48 mg/kg, Mangan (siarczan manganu) Monohydrat) 38 mg/kg, Cynk (monohydrat siarczanu cynku) 135 mg/kg, Dawkowanie: Waga kota: 1,25 - 3 kg/ 3 - 5 kg/ 5 - 8kg, Dzienna porcja: 20 - 40g/ 40 - 60g/ 60 - 100g","APPLAWS Complete Dry Adult Huhn mit Lamm 7.5kg Zutaten: Getrocknetes Hühnerfleisch (48%), getrocknetes Lammfleisch (20%), getrocknete Kartoffeln, gemahlenes Hühnerfleisch (12%), Rübenschnitzel, Hühnersauce, Lachsöl, Vitamine und Mineralstoffe, Trockenei, Zellulosefasern (0, 03%), Natriumchlorid, Kalziumkarbonat, Algen/Seetang, Cranberry, DL-Methionin, Kaliumchlorid, Yucca-Extrakt, Zitrusextrakt, Rosmarinextrakt, Zusammensetzungsanalyse: Eiweiß 37%, Rohfaser 2,5%, Rohfett 17%, Omega-3 1%, Omega-6 3,3%, Phosphor 1,6%, Calcium 2,7%, Zusatzstoffe: Vitamin A (Retinylacetat) 27850 IU/kg, Vitamin D3 (Cholecalciferol) 1200 IU/kg, Vitamin E (Alpha-Tocopherol-Acetat) 615 IU/kg, Selen (Natriumselenit) 0,13 mg/kg, Jod (Calciumjodat wasserfrei) 1,5 mg/kg, Eisen (Eisensulfat-Monohydrat) 80 mg/kg, Kupfer (Kupfersulfat-Pentahydrat) 48 mg/kg, Mangan (Mangansulfat-Monohydrat) 38 mg/kg, Zink (Zinksulfat-Monohydrat) 135 mg/kg, Dosierung: Katzengewicht: 1,25 - 3 kg/ 3 - 5 kg/ 5 - 8kg, Tagesportion: 20 - 40g/ 40 - 60g/ 60 - 100g"
16533,5060333439507,"APPLAWS Puppy Small & Medium Breed Chicken 15kg Skład: Kurczak 67% (z suszonego kurczaka), Mielone mięso z kurczaka 8%, Skrobia ziemniaczana 8%, Groch 8% (z suszonego groszku), Olej drobiowy 3% (źródło Omega 6), Pulpa buraczana, Sos drobiowy, Całe jaja (z suszonego Jajko), Błonnik Roślinny Celulozowy, Minerały, Olej z Łososia (źródło Omega 3 & EPA & DHA) Witaminy, Pomidor (z Suszonego Pomidora), Marchew (z Suszonej Marchwi), Ekstrakt z Cykorii (FOS), Mączka z Lucerny, Wodorosty/Kelp, Ekstrakt drożdżowy (oczyszczony beta-glukan min 0,1%), Glukozamina, Metylosulfonylometan, Chondroityna, Mięta pieprzowa, Mączka paprykowa, Kurkuma, Ekstrakt z tymianku, Ekstrakt z cytrusów, Analiza Składu: Białko 39%, Oleje i tłuszcze surowe 22%, Włókno surowe 4%, Popiół surowy 8,5%, Wapń 1,6%, Fosfor 1,31%, Węglowodany <21,5%, Dodatki: , Witamina A (octan retinylu) 19 000 IU/kg, Witamina D3 (cholekalcyferol) 2000 IU/kg, Witamina E (octan alfa-tokoferolu) 640 mg/kg, Selenin sodu 0,33 mg/kg, Bezwodny jodan wapnia 3,26 mg/kg, Monohydrat siarczanu żelaza 233 mg, Pentahydrat siarczanu miedzi 40 mg/kg, Monohydrat siarczanu manganu 94 mg/kg, Monohydrat siarczanu cynku 444 mg/kg, Dawkowanie: Wiek/ Porcja w g/dzień: 0 - 2 miesięcy/ 50 - 100 g/ 3 - 6 miesięcy/ 80 - 140 g","APPLAWS Puppy Small & Medium Breed Huhn 15kg Zusammensetzung: Huhn 67% (aus getrocknetem Huhn), gemahlenes Hühnerfleisch 8%, Kartoffelstärke 8%, Erbsen 8% (aus getrockneten Erbsen), Geflügelöl 3% (Quelle Omega 6), Rübenschnitzel, Geflügelsauce, ganze Eier (aus getrockneten Eiern), pflanzliche Zellulosefasern, Mineralien, Lachsöl (Quelle Omega 3 & EPA & DHA) Vitamine, Tomate (aus getrockneter Tomate), Karotte (aus getrockneter Karotte), Chicorée-Extrakt (FOS), Alfalfa-Mehl, Seetang/Tang, Hefeextrakt (gereinigtes Beta-Glucan mind. 0,1%), Glucosamin, Methylsulfonylmethan, Chondroitin, Pfefferminze, Pfeffermehl, Kurkuma, Thymianextrakt, Zitrusextrakt, Zusammensetzungsanalyse: Eiweiß 39%, Rohöle und -fette 22%, Rohfaser 4%, Rohasche 8,5%, Calcium 1,6%, Phosphor 1,31%, Kohlenhydrate <21,5%, Zusatzstoffe: Vitamin A (Retinylacetat) 19 000 IU/kg, Vitamin D3 (Cholecalciferol) 2000 IU/kg, Vitamin E (Alpha-Tocopherol-Acetat) 640 mg/kg, Natriumselenit 0,33 mg/kg, Calciumjodat wasserfrei 3,26 mg/kg, Eisensulfat-Monohydrat 233 mg, Kupfersulfat-Pentahydrat 40 mg/kg, Mangansulfat-Monohydrat 94 mg/kg, Zinksulfat-Monohydrat 444 mg/kg, Dosierung: Alter/Portion in g/Tag: 0 - 2 Monate/ 50 - 100 g/ 3 - 6 Monate/ 80 - 140 g"
16531,5060122494137,"APPLAWS Puppy Large Breed Chicken 2kg Skład: Kurczak 67% (z suszonego kurczaka), Mielone mięso z kurczaka 8%, Skrobia ziemniaczana 7%, Groch 6% (z suszonego groszku), Olej drobiowy 3% (źródło Omega 6), Pulpa buraczana, Sos drobiowy, Całe jaja (z suszonego jaja ), Błonnik roślinny z celulozy, Minerały, Olej z łososia (źródło Omega 3 i EPA i DHA), Analiza Składu: Białko 38%, Oleje i tłuszcze surowe 20%, Włókno surowe 4,5%, Popiół surowy 8%, Wapń 1,34%, Fosfor 1,31%, Węglowodany <21,5%, Dodatki: Witamina A (octan retinylu) 19 000 IU/kg, Witamina D3 (cholekalcyferol) 2000 IU/kg, Witamina E (octan alfa-tokoferolu) 640 mg/kg, Pierwiastki śladowe: selenin sodu 0,33 mg/kg, Bezwodny jodan wapnia 3,26 mg/kg, Monohydrat siarczanu żelaza 233 mg, Pentahydrat siarczanu miedzi 40 mg/kg, Monohydrat siarczanu manganu 94 mg/kg, Dawkowanie: docelowa waga psa/ wiek szczenięcia/ w miesiącach 0-2/ 3-6/ 6-12/ 12-18/ 25-45kg/ 229-291g/ 270-391g/ 370-464g/ 341-416g 45-70kg/ 337-400g/ 375-508g/ 500-566g/ 437-500g","APPLAWS Puppy Large Breed Huhn 2kg Zusammensetzung: Huhn 67% (aus getrocknetem Huhn), gemahlenes Hühnerfleisch 8%, Kartoffelstärke 7%, Erbsen 6% (aus getrockneten Erbsen), Geflügelöl 3% (Quelle für Omega 6), Rübenschnitzel, Geflügelsauce, Vollei (aus getrocknetem Ei), pflanzliche Zellulosefasern, Mineralstoffe, Lachsöl (Quelle für Omega 3 und EPA und DHA), Analyse der Zusammensetzung: Eiweiß 38%, Rohöle und -fette 20%, Rohfaser 4,5%, Rohasche 8%, Calcium 1,34%, Phosphor 1,31%, Kohlenhydrate <21,5%, Zusatzstoffe: Vitamin A (Retinylacetat) 19 000 IU/kg, Vitamin D3 (Cholecalciferol) 2000 IU/kg, Vitamin E (Alpha-Tocopherolacetat) 640 mg/kg, Spurenelemente: Natriumselenit 0,33 mg/kg, Calciumjodat wasserfrei 3,26 mg/kg, Eisensulfat-Monohydrat 233 mg, Kupfersulfat-Pentahydrat 40 mg/kg, Mangansulfat-Monohydrat 94 mg/kg, Dosierung: Zielgewicht Hund/ Welpenalter/ in Monaten 0-2/ 3-6/ 6-12/ 12-18/ 25-45kg/ 229-291g/ 270-391g/ 370-464g/ 341-416g 45-70kg/ 337-400g/ 375-508g/ 500-566g/ 437-500g"
16530,5060122497312,"APPLAWS Complete Dry Adult Ocean Fish With Salmon 6kg Skład: Świeża biała ryba (18%), Groch, Mączka śledziowa (12%), Mąka z ciecierzycy, Soczewica, Świeży łosoś (8%), Mączka z siei (5%), Siemię lniane, Drożdże piwne, Olej z łososia (3%), Lucerna, Łosoś Mączka (2,5%), Hydrolizowane białko rybne (2,5%), Suszona żurawina, Witaminy i minerały, Olej kokosowy, Suszone jabłko, Suszona gruszka, Inulina, Suszona żurawina, Suszony pomidor, Suszony szpinak, Ekstrakt z cytrusów, Ekstrakt z rozmarynu, Ekstrakt z juki, Analiza Składu: Białko 34%, Włókno surowe 6%, Tłuszcz surowy 15%, Omega-3 1,2%, Omega-6 3%, Tauryna 2000 mg/kg, Dodatki: Witamina A (octan retinylu) 27850 IU/kg, Witamina D3 (cholekalcyferol) 1200 IU/kg, Witamina E (octan alfa-tokoferolu) 615 IU/kg, Selen (selenin sodu) 0,13 mg/kg, Jod (bezwodny jodan wapnia) 1,5 mg/kg, Żelazo (monohydrat siarczanu żelaza) 80 mg/kg, Miedź (pięciowodny siarczan miedzi) 48 mg/kg, Mangan (siarczan manganu), Monohydrat) 38 mg/kg, Cynk (monohydrat siarczanu cynku) 135 mg/kg, Dawkowanie: Waga kota: 1,25 - 3 kg/ 3 - 5 kg/ 5 - 8kg, Dzienna porcja: 20 - 40g/ 40 - 60g/ 60 - 100g","APPLAWS Complete Dry Adult Meeresfisch mit Lachs 6kg Zutaten: Frischer Weißfisch (18%), Erbsen, Heringsmehl (12%), Kichererbsenmehl, Linsen, frischer Lachs (8%), Felchenmehl (5%), Leinsamen, Bierhefe, Lachsöl (3%), Luzerne, Lachsmehl (2,5%), hydrolysiertes Fischprotein (2, 5%), getrocknete Cranberries, Vitamine und Mineralien, Kokosnussöl, getrockneter Apfel, getrocknete Birne, Inulin, getrocknete Cranberries, getrocknete Tomate, getrockneter Spinat, Zitrusextrakt, Rosmarinextrakt, Yucca-Extrakt, Analyse der Zusammensetzung: Eiweiß 34%, Rohfaser 6%, Rohfett 15%, Omega-3 1,2%, Omega-6 3%, Taurin 2000 mg/kg, Zusatzstoffe: Vitamin A (Retinylacetat) 27850 IU/kg, Vitamin D3 (Cholecalciferol) 1200 IU/kg, Vitamin E (Alpha-Tocopherolacetat) 615 IU/kg, Selen (Natriumselenit) 0,13 mg/kg, Jod (Calciumjodat wasserfrei) 1,5 mg/kg, Eisen (Eisensulfat-Monohydrat) 80 mg/kg, Kupfer (Kupfersulfat-Pentahydrat) 48 mg/kg, Mangan (Mangansulfat-Monohydrat) 38 mg/kg, Zink (Zinksulfat-Monohydrat) 135 mg/kg, Dosierung: Katzengewicht: 1,25 - 3 kg/ 3 - 5 kg/ 5 - 8kg, Tagesportion: 20 - 40g/ 40 - 60g/ 60 - 100g"
15762,5060333437237,"APPLAWS Chicken In Jelly Multipack 8x156g Skład:3 x Kurczak z Tuńczykiem w galarecie, Pierś Kurczaka 56%, Tuńczyk 4%, Roślinny środek żelujący, 3 x Kurczak w galarecie, Pierś Kurczaka 56%, Roślinny środek żelujący, 2 x Kurczak z Kaczką w galarecie, Pierś Kurczaka 56%, Kaczka 4%, Roślinny żelujący, Analiza Składu: Białko surowe 15%, Włókno surowe 0,1%, Oleje i tłuszcze surowe 0,4%, Popiół surowy 0,5%, Wilgotność 82%, Dawkowanie: Waga psa: do 5kg- 2 puszki, Waga psa: 5-10kg- 3 puszki.","APPLAWS Huhn in Gelee Multipack 8x156g Zutaten:3 x Huhn mit Thunfisch in Gelee, Hühnerbrust 56%, Thunfisch 4%, pflanzliches Geliermittel, 3 x Huhn in Gelee, Hühnerbrust 56%, pflanzliches Geliermittel, 2 x Huhn mit Ente in Gelee, Hühnerbrust 56%, Ente 4%, pflanzliches Geliermittel, Zusammensetzungsanalyse: Rohprotein 15 %, Rohfaser 0,1 %, Rohöle und -fette 0,4 %, Rohasche 0,5 %, Feuchtigkeit 82 %, Dosierung: Hundegewicht: bis zu 5 kg - 2 Dosen, Hundegewicht: 5-10 kg - 3 Dosen."
15761,5060122490689,"APPLAWS Chicken Breast With Beef Liver And Vegetables 156g Skład: Pierś z Kurczaka 28%, Rosół z Kurczaka 28%, Dynia 8%, Marchewka 8%, Zielony Groszek 8%, Wątroba Wołowa 15%, Ryż 5%, Analiza Składu, Białko 13%, Włókno surowe 1%, Oleje i tłuszcze surowe 0,3%, Popiół surowy 2%, Wilgotność 82%, Dawkowanie: Waga psa: do 5 kg- 2 puszki. Waga psa: 5 - 10 kg- 3 puszki.","APPLAWS Hühnerbrust mit Rinderleber und Gemüse 156g Zutaten: Hühnerbrust 28 %, Hühnerbrühe 28 %, Kürbis 8 %, Karotten 8 %, grüne Erbsen 8 %, Rinderleber 15 %, Reis 5 %, Analyse der Zusammensetzung, Eiweiß 13 %, Rohfaser 1 %, Rohöle und -fette 0,3 %, Rohasche 2 %, Feuchtigkeit 82 %, Dosierung: Hundegewicht: bis zu 5 kg - 2 Dosen. Gewicht des Hundes: 5 - 10 kg - 3 Dosen."
15760,5060122490672,"APPLAWS Chicken Breast With Ham And Vegetables 156g Skład: Pierś z kurczaka 28%, Rosół z kurczaka 28%, Szynka 15%, Dynia 8%, Marchewka 8%, Groszek 8%, Ryż 5%, Analiza Składu: Białko 13%, Popiół surowy 2%, Oleje i tłuszcze surowe 0,3%, Włókno surowe 1%, Wilgotność 82%, Dawkowanie: Waga psa: do 5kg- 2 puszki / 5-10kg- 3 puszki.","APPLAWS Hähnchenbrust mit Schinken und Gemüse 156g Zusammensetzung: Hühnerbrust 28 %, Hühnerbrühe 28 %, Schinken 15 %, Kürbis 8 %, Karotten 8 %, Erbsen 8 %, Reis 5 %, Analyse der Zusammensetzung: Eiweiß 13 %, Rohasche 2 %, Rohöle und -fette 0,3 %, Rohfaser 1 %, Feuchtigkeit 82 %, Dosierung: Hundegewicht: bis 5 kg- 2 Dosen / 5-10 kg- 3 Dosen."
